state,index_cost_living
Alabama,88.0
Alaska,123.8
Arizona,111.5
Arkansas,88.7
California,144.8
Colorado,102.0
Connecticut,112.3
Delaware,100.8
District of Columbia,141.9
Florida,102.8
Georgia,91.3
Hawaii,186.9
Idaho,102.0
Illinois,94.4
Indiana,90.5
Iowa,89.7
Kansas,87.0
Kentucky,93.0
Louisiana,92.2
Maine,112.1
Maryland,115.3
Massachusetts,145.9
Michigan,90.4
Minnesota,95.1
Mississippi,87.9
Missouri,88.7
Montana,94.9
Nebraska,93.1
Nevada,101.3
New Hampshire,112.6
New Jersey,114.6
New Mexico,93.3
New York,123.3
North Carolina,97.8
North Dakota,91.9
Ohio,94.2
Oklahoma,85.7
Oregon,112.0
Pennsylvania,95.1
Rhode Island,112.2
South Carolina,95.9
South Dakota,92.2
Tennessee,90.5
Texas,92.7
Utah,104.9
Vermont,114.4
Virginia,100.7
Washington,114.2
West Virginia,84.1
Wisconsin,97.0
Wyoming,95.5