State,Mean
Alabama,72.0
Alaska,74.5
Arizona,75.0
Arkansas,72.5
California,78.3
Colorado,77.7
Connecticut,79.2
Delaware,76.3
District of Columbia,75.3
Florida,76.1
Georgia,74.3
Hawaii,79.9
Idaho,77.2
Illinois,77.1
Indiana,74.6
Iowa,77.7
Kansas,76.0
Kentucky,72.3
Louisiana,72.2
Maine,76.7
Maryland,77.2
Massachusetts,79.6
Michigan,75.7
Minnesota,78.8
Mississippi,70.9
Missouri,74.6
Montana,75.8
Nebraska,77.8
Nevada,75.1
New Hampshire,78.5
New Jersey,79.0
New Mexico,73.0
New York,79.0
North Carolina,74.9
North Dakota,77.6
Ohio,74.5
Oklahoma,72.7
Oregon,77.4
Pennsylvania,76.4
Rhode Island,78.5
South Carolina,73.5
South Dakota,76.6
Tennessee,72.4
Texas,75.4
Utah,78.2
Vermont,78.4
Virginia,76.8
Washington,78.2
West Virginia,71.0
Wisconsin,77.8
Wyoming,75.0